onehot__TypeofContact_Company Invited,onehot__TypeofContact_Self Enquiry,onehot__Occupation_Free Lancer,onehot__Occupation_Large Business,onehot__Occupation_Salaried,onehot__Occupation_Small Business,onehot__Gender_Fe Male,onehot__Gender_Female,onehot__Gender_Male,onehot__MaritalStatus_Divorced,onehot__MaritalStatus_Married,onehot__MaritalStatus_Single,onehot__MaritalStatus_Unmarried,onehot__Designation_AVP,onehot__Designation_Executive,onehot__Designation_Manager,onehot__Designation_Senior Manager,onehot__Designation_VP,onehot__ProductPitched_Basic,onehot__ProductPitched_Deluxe,onehot__ProductPitched_King,onehot__ProductPitched_Standard,onehot__ProductPitched_Super Deluxe,remainder__Unnamed: 0,remainder__Age,remainder__CityTier,remainder__DurationOfPitch,remainder__NumberOfPersonVisiting,remainder__NumberOfFollowups,remainder__PreferredPropertyStar,remainder__NumberOfTrips,remainder__Passport,remainder__PitchSatisfactionScore,remainder__OwnCar,remainder__NumberOfChildrenVisiting,remainder__MonthlyIncome
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1923.0,26.0,2.0,23.0,2.0,3.0,3.0,1.0,1.0,5.0,0.0,1.0,17741.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,42.0,1.0,6.0,2.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,21062.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4701.0,56.0,1.0,9.0,4.0,4.0,4.0,5.0,0.0,1.0,0.0,2.0,29654.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4662.0,27.0,3.0,36.0,4.0,6.0,5.0,2.0,0.0,3.0,1.0,2.0,23647.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2821.0,37.0,1.0,9.0,4.0,4.0,3.0,6.0,0.0,5.0,1.0,1.0,21221.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2420.0,31.0,2.0,28.0,2.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,24852.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1468.0,49.0,3.0,8.0,3.0,4.0,4.0,3.0,0.0,3.0,1.0,2.0,20390.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1785.0,43.0,1.0,16.0,2.0,3.0,3.0,1.0,0.0,5.0,0.0,0.0,17455.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4619.0,40.0,3.0,9.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,26558.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2607.0,58.0,1.0,31.0,3.0,3.0,3.0,5.0,1.0,4.0,1.0,2.0,28117.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2727.0,56.0,1.0,27.0,3.0,4.0,3.0,5.0,1.0,2.0,1.0,2.0,24093.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,401.0,56.0,3.0,12.0,2.0,2.0,5.0,1.0,0.0,3.0,1.0,0.0,28212.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4876.0,52.0,3.0,34.0,3.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,32704.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2352.0,36.0,1.0,7.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,25252.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,586.0,24.0,1.0,15.0,2.0,4.0,4.0,2.0,0.0,5.0,1.0,0.0,17694.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,702.0,30.0,3.0,14.0,3.0,3.0,3.0,6.0,0.0,3.0,1.0,0.0,22264.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2404.0,25.0,1.0,15.0,2.0,3.0,5.0,4.0,0.0,1.0,1.0,0.0,17096.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3462.0,37.0,1.0,11.0,3.0,5.0,3.0,3.0,0.0,5.0,1.0,2.0,24488.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1983.0,20.0,1.0,16.0,2.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,16009.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3370.0,44.0,3.0,11.0,3.0,5.0,3.0,5.0,0.0,3.0,1.0,1.0,28909.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4573.0,29.0,3.0,12.0,4.0,4.0,3.0,3.0,0.0,3.0,0.0,2.0,23586.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4525.0,36.0,1.0,14.0,3.0,4.0,3.0,5.0,0.0,3.0,0.0,2.0,28899.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3180.0,49.0,1.0,11.0,4.0,5.0,3.0,2.0,0.0,5.0,1.0,2.0,29677.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,36.0,1.0,12.0,2.0,2.0,3.0,4.0,0.0,2.0,0.0,0.0,18038.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4301.0,41.0,3.0,9.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,24393.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3099.0,34.0,2.0,10.0,3.0,4.0,4.0,5.0,1.0,5.0,0.0,2.0,20955.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2726.0,30.0,3.0,9.0,3.0,4.0,3.0,3.0,0.0,2.0,0.0,1.0,23232.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,311.0,45.0,1.0,13.0,3.0,3.0,5.0,2.0,0.0,2.0,1.0,2.0,20210.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4197.0,56.0,1.0,27.0,3.0,4.0,3.0,5.0,1.0,1.0,0.0,1.0,24093.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2197.0,18.0,1.0,11.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,16051.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4218.0,40.0,1.0,7.0,3.0,2.0,3.0,2.0,0.0,3.0,1.0,1.0,28291.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2032.0,33.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,17686.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4252.0,31.0,3.0,12.0,2.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,24796.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3271.0,29.0,1.0,13.0,3.0,5.0,3.0,3.0,1.0,4.0,1.0,1.0,21381.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2332.0,44.0,1.0,23.0,3.0,5.0,3.0,3.0,0.0,4.0,1.0,1.0,17290.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,38.0,1.0,12.0,3.0,5.0,3.0,1.0,1.0,2.0,0.0,2.0,20329.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2222.0,36.0,1.0,22.0,2.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,17743.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1907.0,30.0,3.0,13.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,17983.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,273.0,37.0,3.0,12.0,3.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,21502.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4266.0,49.0,3.0,36.0,4.0,4.0,3.0,5.0,0.0,4.0,0.0,2.0,31182.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3857.0,26.0,1.0,9.0,3.0,4.0,3.0,8.0,1.0,5.0,0.0,1.0,22655.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3503.0,36.0,3.0,14.0,4.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,21082.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2505.0,39.0,1.0,36.0,3.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,21084.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1985.0,35.0,1.0,9.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,16281.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,110.0,51.0,1.0,6.0,1.0,4.0,5.0,4.0,0.0,2.0,1.0,0.0,22484.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1956.0,37.0,3.0,8.0,3.0,3.0,3.0,5.0,1.0,3.0,0.0,2.0,24602.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4529.0,28.0,1.0,10.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,1.0,20384.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2358.0,35.0,3.0,14.0,3.0,4.0,3.0,5.0,1.0,5.0,1.0,2.0,25377.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3585.0,31.0,1.0,14.0,3.0,5.0,4.0,3.0,0.0,5.0,0.0,1.0,20819.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1312.0,31.0,2.0,24.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,17956.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3694.0,30.0,1.0,7.0,4.0,2.0,3.0,2.0,1.0,3.0,0.0,2.0,24972.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1908.0,35.0,1.0,22.0,3.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,22632.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4132.0,46.0,3.0,13.0,3.0,5.0,3.0,8.0,0.0,4.0,1.0,1.0,27543.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4790.0,21.0,3.0,28.0,3.0,2.0,3.0,3.0,0.0,3.0,1.0,2.0,21356.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,545.0,30.0,3.0,33.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,0.0,20304.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4273.0,37.0,3.0,10.0,3.0,5.0,3.0,6.0,0.0,1.0,0.0,1.0,28377.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4458.0,48.0,3.0,10.0,3.0,4.0,3.0,2.0,1.0,5.0,1.0,1.0,32448.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3868.0,36.0,1.0,16.0,3.0,4.0,3.0,3.0,0.0,4.0,0.0,2.0,23776.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1377.0,49.0,1.0,8.0,2.0,3.0,3.0,4.0,0.0,3.0,1.0,0.0,34161.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2164.0,33.0,1.0,6.0,2.0,4.0,3.0,1.0,0.0,4.0,1.0,1.0,21949.0
